id,task,framework,constraint,fold,type,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,acc,balacc,logloss,models_ensemble_count,auc
openml.org/t/3692,disclosure_x_noise,AutoGluon,test,3,binary,0.454545,acc,local,1.0.0,,2.1.4,2024-08-06T21:01:03,33.1,28.5,0.3,14,476602188,,0.454545,0.454545,0.856459,4,0.46281
openml.org/t/3692,disclosure_x_noise,AutoGluon,test,4,binary,0.439394,acc,local,1.0.0,,2.1.4,2024-08-06T21:01:34,30.3,26,0.2,14,476602189,,0.439394,0.439394,0.693268,3,0.504132
openml.org/t/3692,disclosure_x_noise,AutoGluon,test,5,binary,0.454545,acc,local,1.0.0,,2.1.4,2024-08-06T21:02:04,29.8,25.7,0.07,14,476602190,,0.454545,0.454545,0.696692,3,0.437098
openml.org/t/3692,disclosure_x_noise,AutoGluon,test,6,binary,0.515152,acc,local,1.0.0,,2.1.4,2024-08-06T21:02:34,30,26.2,0.03,14,476602191,,0.515152,0.515152,0.693276,2,0.534435
openml.org/t/3692,disclosure_x_noise,AutoGluon,test,7,binary,0.469697,acc,local,1.0.0,,2.1.4,2024-08-06T21:03:06,31.1,25.6,0.5,14,476602192,,0.469697,0.469697,0.703607,7,0.467401
openml.org/t/3692,disclosure_x_noise,AutoGluon,test,8,binary,0.545455,acc,local,1.0.0,,2.1.4,2024-08-06T21:03:38,32.3,28.4,0.02,14,476602193,,0.545455,0.545455,0.691635,2,0.549587
openml.org/t/3692,disclosure_x_noise,AutoGluon,test,9,binary,0.424242,acc,local,1.0.0,,2.1.4,2024-08-06T21:04:18,39.8,34.8,0.1,14,476602194,,0.424242,0.424242,0.698126,6,0.449036
openml.org/t/3771,chscase_census3,AutoGluon,test,0,binary,0.45,acc,local,1.0.0,,2.1.4,2024-08-06T21:04:48,28.9,24.5,0.2,14,476602185,,0.45,0.45,0.74247,4,0.415
openml.org/t/3771,chscase_census3,AutoGluon,test,1,binary,0.375,acc,local,1.0.0,,2.1.4,2024-08-06T21:05:17,28.8,25.1,0.03,14,476602186,,0.375,0.375,0.838089,2,0.3975
openml.org/t/3771,chscase_census3,AutoGluon,test,2,binary,0.475,acc,local,1.0.0,,2.1.4,2024-08-06T21:05:45,28.2,24.2,0.04,14,476602187,,0.475,0.47995,0.709906,3,0.413534
openml.org/t/3771,chscase_census3,AutoGluon,test,3,binary,0.475,acc,local,1.0.0,,2.1.4,2024-08-06T21:06:14,28.4,23.8,0.09,14,476602188,,0.475,0.4599,0.695363,6,0.441103
openml.org/t/3771,chscase_census3,AutoGluon,test,4,binary,0.5,acc,local,1.0.0,,2.1.4,2024-08-06T21:06:41,26.7,22.9,0.02,14,476602189,,0.5,0.493734,0.805411,2,0.438596
openml.org/t/3771,chscase_census3,AutoGluon,test,5,binary,0.4,acc,local,1.0.0,,2.1.4,2024-08-06T21:07:08,26.7,23,0.02,14,476602190,,0.4,0.39599,0.788941,2,0.383459
openml.org/t/3771,chscase_census3,AutoGluon,test,6,binary,0.6,acc,local,1.0.0,,2.1.4,2024-08-06T21:07:39,30.3,26.3,0.05,14,476602191,,0.6,0.593985,0.674612,3,0.666667
openml.org/t/3771,chscase_census3,AutoGluon,test,7,binary,0.525,acc,local,1.0.0,,2.1.4,2024-08-06T21:08:06,26.6,22.5,0.02,14,476602192,,0.525,0.525063,0.701592,3,0.461153
openml.org/t/3771,chscase_census3,AutoGluon,test,8,binary,0.45,acc,local,1.0.0,,2.1.4,2024-08-06T21:08:36,30.3,25.5,0.2,14,476602193,,0.45,0.448622,0.703575,5,0.433584
openml.org/t/3771,chscase_census3,AutoGluon,test,9,binary,0.425,acc,local,1.0.0,,2.1.4,2024-08-06T21:09:09,32.7,28.4,0.2,14,476602194,,0.425,0.434837,0.699502,3,0.443609
openml.org/t/3718,boston,AutoGluon,test,0,binary,0.921569,acc,local,1.0.0,,2.1.4,2024-08-06T21:09:47,37.1,33.3,0.02,14,476602185,,0.921569,0.911905,0.246363,2,0.968254
openml.org/t/3718,boston,AutoGluon,test,1,binary,0.901961,acc,local,1.0.0,,2.1.4,2024-08-06T21:10:24,36.6,32.4,0.2,14,476602186,,0.901961,0.909524,0.269592,3,0.961905
openml.org/t/3718,boston,AutoGluon,test,2,binary,0.941176,acc,local,1.0.0,,2.1.4,2024-08-06T21:10:55,31,27.1,0.01,14,476602187,,0.941176,0.928571,0.24885,2,0.977778
openml.org/t/3718,boston,AutoGluon,test,3,binary,0.882353,acc,local,1.0.0,,2.1.4,2024-08-06T21:11:26,30.7,26.4,0.3,14,476602188,,0.882353,0.871429,0.251504,3,0.973016
openml.org/t/3718,boston,AutoGluon,test,4,binary,0.764706,acc,local,1.0.0,,2.1.4,2024-08-06T21:11:58,31.5,27.8,0.04,14,476602189,,0.764706,0.764286,0.393818,2,0.922222
openml.org/t/3718,boston,AutoGluon,test,5,binary,0.921569,acc,local,1.0.0,,2.1.4,2024-08-06T21:12:34,36,32.1,0.07,14,476602190,,0.921569,0.904762,0.383252,2,0.884127
openml.org/t/3718,boston,AutoGluon,test,6,binary,0.92,acc,local,1.0.0,,2.1.4,2024-08-06T21:13:07,32.3,28.4,0.06,14,476602191,,0.92,0.908333,0.279796,2,0.923333
openml.org/t/3718,boston,AutoGluon,test,7,binary,0.84,acc,local,1.0.0,,2.1.4,2024-08-06T21:13:38,30.3,26.5,0.04,14,476602192,,0.84,0.835796,0.295305,2,0.942529
openml.org/t/3718,boston,AutoGluon,test,8,binary,0.88,acc,local,1.0.0,,2.1.4,2024-08-06T21:14:14,35.9,32,0.01,14,476602193,,0.88,0.870279,0.278205,2,0.967159
openml.org/t/3718,boston,AutoGluon,test,9,binary,0.9,acc,local,1.0.0,,2.1.4,2024-08-06T21:14:55,41.4,37.5,0.02,14,476602194,,0.9,0.900657,0.360088,2,0.921182
