id,task,framework,constraint,fold,type,result,metric,mode,version,params,app+AF8-version,utc,duration,training+AF8-duration,predict+AF8-duration,models+AF8-count,seed,info,acc,balacc,logloss,,
openml.org/t/9917,volcanoes+AC0-e3,AutoGluon,test,6,multiclass,0.890625,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:10:21,18.5,15.8,9,14,1770482057,,0.890625,0.233162,0.854385,,
openml.org/t/9917,volcanoes+AC0-e3,AutoGluon,test,7,multiclass,0.92126,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:10:38,16.6,14,6,14,1770482058,,0.92126,0.331197,0.308954,,
openml.org/t/9917,volcanoes+AC0-e3,AutoGluon,test,8,multiclass,0.913386,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:10:55,16.7,14.1,0.08,14,1770482059,,0.913386,0.198291,1.04875,,
openml.org/t/9917,volcanoes+AC0-e3,AutoGluon,test,9,multiclass,0.913386,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:11:13,17.8,15.2,7,14,1770482060,,0.913386,0.236581,1.26356,,
openml.org/t/9916,volcanoes+AC0-e2,AutoGluon,test,0,multiclass,0.916667,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:11:32,19.3,16.6,9,14,1770482051,,0.916667,0.297475,0.299053,,
openml.org/t/9916,volcanoes+AC0-e2,AutoGluon,test,1,multiclass,0.925926,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:11:49,17.3,14.8,5,14,1770482052,,0.925926,0.291667,0.417135,,
openml.org/t/9916,volcanoes+AC0-e2,AutoGluon,test,2,multiclass,0.907407,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:12:06,16.9,14.3,5,14,1770482053,,0.907407,0.19798,0.694606,,
openml.org/t/9916,volcanoes+AC0-e2,AutoGluon,test,3,multiclass,0.916667,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:12:25,18.3,15.2,4,14,1770482054,,0.916667,0.2,1.60237,,
openml.org/t/9916,volcanoes+AC0-e2,AutoGluon,test,4,multiclass,0.907407,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:12:44,18.9,16,0.09,14,1770482055,,0.907407,0.2,0.969212,,
openml.org/t/9916,volcanoes+AC0-e2,AutoGluon,test,5,multiclass,0.907407,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:13:01,17.3,14.6,8,14,1770482056,,0.907407,0.2,0.710641,,
openml.org/t/9916,volcanoes+AC0-e2,AutoGluon,test,6,multiclass,0.898148,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:13:20,18.8,15.9,7,14,1770482057,,0.898148,0.197959,0.600077,,
openml.org/t/9916,volcanoes+AC0-e2,AutoGluon,test,7,multiclass,0.916667,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:13:38,17.4,14.8,7,14,1770482058,,0.916667,0.337959,0.622584,,
openml.org/t/9916,volcanoes+AC0-e2,AutoGluon,test,8,multiclass,0.898148,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:13:54,16.2,13.7,0.01,14,1770482059,,0.898148,0.235918,0.653139,,
openml.org/t/9916,volcanoes+AC0-e2,AutoGluon,test,9,multiclass,0.907407,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:14:11,16.7,14.2,6,14,1770482060,,0.907407,0.297959,0.631605,,
openml.org/t/9922,volcanoes+AC0-d3,AutoGluon,test,0,multiclass,0.945102,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:14:51,40.2,37.5,0.02,14,1770482051,,0.945102,0.2,0.24462,,
openml.org/t/9922,volcanoes+AC0-d3,AutoGluon,test,1,multiclass,0.940797,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:15:34,42.7,39.9,0.07,14,1770482052,,0.940797,0.223632,0.299882,,
openml.org/t/9922,volcanoes+AC0-d3,AutoGluon,test,2,multiclass,0.940797,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:16:20,46,43.3,0.02,14,1770482053,,0.940797,0.199316,0.230313,,
openml.org/t/9922,volcanoes+AC0-d3,AutoGluon,test,3,multiclass,0.942949,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:17:03,42.6,39.6,0.1,14,1770482054,,0.942949,0.199772,0.500642,,
openml.org/t/9922,volcanoes+AC0-d3,AutoGluon,test,4,multiclass,0.940797,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:17:46,42.8,40,0.02,14,1770482055,,0.940797,0.215754,0.260287,,
openml.org/t/9922,volcanoes+AC0-d3,AutoGluon,test,5,multiclass,0.942888,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:18:25,38.9,36.2,0.01,14,1770482056,,0.942888,0.199544,0.263386,,
openml.org/t/9922,volcanoes+AC0-d3,AutoGluon,test,6,multiclass,0.940733,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:19:04,39.4,36.8,0.02,14,1770482057,,0.940733,0.223632,0.244389,,
openml.org/t/9922,volcanoes+AC0-d3,AutoGluon,test,7,multiclass,0.943966,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:19:46,41.6,39,0.02,14,1770482058,,0.943966,0.199772,0.259168,,
openml.org/t/9922,volcanoes+AC0-d3,AutoGluon,test,8,multiclass,0.946121,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:20:28,41.8,38.8,0.1,14,1770482059,,0.946121,0.238661,0.246651,,
openml.org/t/9922,volcanoes+AC0-d3,AutoGluon,test,9,multiclass,0.943966,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:21:09,41.3,38.5,0.1,14,1770482060,,0.943966,0.224316,0.679563,,
openml.org/t/9921,volcanoes+AC0-d2,AutoGluon,test,0,multiclass,0.941176,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:21:51,41.4,38.7,0.02,14,1770482051,,0.941176,0.215744,0.266634,,
openml.org/t/9921,volcanoes+AC0-d2,AutoGluon,test,1,multiclass,0.943355,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:22:32,41.8,38.7,0.1,14,1770482052,,0.943355,0.199769,0.239199,,
openml.org/t/9921,volcanoes+AC0-d2,AutoGluon,test,2,multiclass,0.942203,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:23:14,41.7,39.1,0.02,14,1770482053,,0.942203,0.199308,0.235689,,
openml.org/t/9921,volcanoes+AC0-d2,AutoGluon,test,3,multiclass,0.943293,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:23:53,38.4,35.8,0.02,14,1770482054,,0.943293,0.21749,0.237663,,
openml.org/t/9921,volcanoes+AC0-d2,AutoGluon,test,4,multiclass,0.945474,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:24:35,42,39,0.2,14,1770482055,,0.945474,0.2,0.299279,,
openml.org/t/9921,volcanoes+AC0-d2,AutoGluon,test,5,multiclass,0.945474,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:25:18,42.9,40.3,0.02,14,1770482056,,0.945474,0.2,0.232689,,
openml.org/t/9921,volcanoes+AC0-d2,AutoGluon,test,6,multiclass,0.945474,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:25:59,40.8,38.2,0.02,14,1770482057,,0.945474,0.224539,0.234281,,
openml.org/t/9921,volcanoes+AC0-d2,AutoGluon,test,7,multiclass,0.945474,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:26:38,39.3,36.7,6,14,1770482058,,0.945474,0.2,0.257326,,
openml.org/t/9921,volcanoes+AC0-d2,AutoGluon,test,8,multiclass,0.946565,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:27:25,46.7,44,0.02,14,1770482059,,0.946565,0.216436,0.220707,,
openml.org/t/9921,volcanoes+AC0-d2,AutoGluon,test,9,multiclass,0.944384,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:28:04,39.5,36.9,9,14,1770482060,,0.944384,0.199769,0.259538,,
openml.org/t/9933,volcanoes+AC0-c1,AutoGluon,test,0,multiclass,0.975899,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:29:23,78.9,76.2,0.05,14,1770482051,,0.975899,0.23319,0.104011,,
openml.org/t/9933,volcanoes+AC0-c1,AutoGluon,test,1,multiclass,0.976249,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:30:42,78.5,75.8,0.05,14,1770482052,,0.976249,0.244229,0.107758,,
openml.org/t/9933,volcanoes+AC0-c1,AutoGluon,test,2,multiclass,0.974852,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:32:13,90.4,87.6,0.06,14,1770482053,,0.974852,0.243943,0.109215,,
openml.org/t/9933,volcanoes+AC0-c1,AutoGluon,test,3,multiclass,0.976249,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:33:58,105,102.3,0.02,14,1770482054,,0.976249,0.249713,0.107541,,
openml.org/t/9933,volcanoes+AC0-c1,AutoGluon,test,4,multiclass,0.974852,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:35:18,80.3,77.5,0.05,14,1770482055,,0.974852,0.227491,0.103871,,
openml.org/t/9933,volcanoes+AC0-c1,AutoGluon,test,5,multiclass,0.975201,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:36:40,82.2,79.5,0.05,14,1770482056,,0.975201,0.24957,0.0963683,,
openml.org/t/9933,volcanoes+AC0-c1,AutoGluon,test,6,multiclass,0.975192,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:38:11,91,88.3,0.05,14,1770482057,,0.975192,0.216595,0.104632,,
openml.org/t/9933,volcanoes+AC0-c1,AutoGluon,test,7,multiclass,0.975192,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:39:41,89.7,87,0.02,14,1770482058,,0.975192,0.244014,0.110049,,
openml.org/t/9933,volcanoes+AC0-c1,AutoGluon,test,8,multiclass,0.975192,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:41:10,89.1,86.4,0.06,14,1770482059,,0.975192,0.249498,0.109241,,
openml.org/t/9933,volcanoes+AC0-c1,AutoGluon,test,9,multiclass,0.97624,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:42:37,86.6,83.8,0.06,14,1770482060,,0.97624,0.244229,0.102961,,
openml.org/t/9930,volcanoes+AC0-b4,AutoGluon,test,0,multiclass,0.964671,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:43:21,43.7,41.1,0.02,14,1770482051,,0.964671,0.271504,0.151248,,
openml.org/t/9930,volcanoes+AC0-b4,AutoGluon,test,1,multiclass,0.967615,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:44:07,45.9,43.4,0.01,14,1770482052,,0.967615,0.284899,0.136026,,
